Mag,d_Mag,Filter,Observatory,MJD
14.9198,0.006398129726724,gp,Sinistro,58824.036808703706
14.8971,0.015899210672231,up,Sinistro,58824.0355337037
14.7511,0.004187151895978,rp,Sinistro,58835.03985219907
15.1474,0.004774016757406001,rp,Sinistro,58821.03855680556
14.7805,0.0063466747986640005,gp,Sinistro,58841.0407162037
14.7042,0.005191926424748,rp,Sinistro,58844.04299079861
14.7893,0.006793422995809001,ip,Sinistro,58841.04271
15.007,0.004323282202216,gp,Sinistro,58821.03755930556
14.7717,0.004397297465489,gp,Sinistro,58838.05297340278
14.717600000000001,0.005007209202739,rp,Sinistro,58841.04170150463
14.9308,0.005857875382764,ip,Sinistro,58831.03983019676
15.0998,0.034180468106800005,up,Sinistro,58841.039730902776
14.8065,0.0056427298358150005,gp,Sinistro,58844.041993796294
14.723700000000001,0.00410775315714,rp,Sinistro,58838.05396409722
14.8193,0.005775127704215,ip,Sinistro,58838.05494739583
15.3519,0.005600944206113001,ip,Sinistro,58821.03954200231
14.7782,0.006012397275629001,ip,Sinistro,58844.043977002315
14.8181,0.005049626124773001,rp,Sinistro,58831.038845
14.7905,0.005415699493140001,gp,Sinistro,58831.03784810185
14.8532,0.005839199945197,ip,Sinistro,58835.04083989583
15.0285,0.006087264081670001,rp,Sinistro,58824.03779400463
15.2098,0.008678507705821,ip,Sinistro,58824.03879079861
14.7485,0.004611290925543,gp,Sinistro,58835.03885950232
