mjd,date,band,mag,e_mag
58824.036808703706,2019-12-07T00:53:00.272Z,Sinistro - gp,14.9198,0.006398129726724
58824.0355337037,2019-12-07T00:51:10.112Z,Sinistro - up,14.8971,0.015899210672231
58835.03985219907,2019-12-18T00:57:23.230Z,Sinistro - rp,14.7511,0.004187151895978
58821.03855680556,2019-12-04T00:55:31.308Z,Sinistro - rp,15.1474,0.004774016757406001
58932.42856040509,2020-03-24T10:17:07.619Z,Sinistro - gp,16.8815771891624,0.362
58841.0407162037,2019-12-24T00:58:37.880Z,Sinistro - gp,14.7805,0.0063466747986640005
58844.04299079861,2019-12-27T01:01:54.405Z,Sinistro - rp,14.7042,0.005191926424748
58932.43055489584,2020-03-24T10:19:59.943Z,Sinistro - ip,15.624265068422,0.362
58841.04271,2019-12-24T01:01:30.144Z,Sinistro - ip,14.7893,0.006793422995809001
58821.03755930556,2019-12-04T00:54:05.124Z,Sinistro - gp,15.007,0.004323282202216
58838.05297340278,2019-12-21T01:16:16.902Z,Sinistro - gp,14.7717,0.004397297465489
58841.04170150463,2019-12-24T01:00:03.010Z,Sinistro - rp,14.717600000000001,0.005007209202739
58831.03983019676,2019-12-14T00:57:21.329Z,Sinistro - ip,14.9308,0.005857875382764
58841.039730902776,2019-12-24T00:57:12.750Z,Sinistro - up,15.0998,0.034180468106800005
58844.041993796294,2019-12-27T01:00:28.264Z,Sinistro - gp,14.8065,0.0056427298358150005
58838.05396409722,2019-12-21T01:17:42.498Z,Sinistro - rp,14.723700000000001,0.00410775315714
58838.05494739583,2019-12-21T01:19:07.455Z,Sinistro - ip,14.8193,0.005775127704215
58821.03954200231,2019-12-04T00:56:56.429Z,Sinistro - ip,15.3519,0.005600944206113001
58932.42955140046,2020-03-24T10:18:33.241Z,Sinistro - rp,16.3307514704637,0.362
58844.043977002315,2019-12-27T01:03:19.613Z,Sinistro - ip,14.7782,0.006012397275629001
58831.038845,2019-12-14T00:55:56.208Z,Sinistro - rp,14.8181,0.005049626124773001
58831.03784810185,2019-12-14T00:54:30.076Z,Sinistro - gp,14.7905,0.005415699493140001
58932.426824201386,2020-03-24T10:14:37.611Z,Sinistro - up,15.5685122119905,0.362
58835.04083989583,2019-12-18T00:58:48.567Z,Sinistro - ip,14.8532,0.005839199945197
58824.03779400463,2019-12-07T00:54:25.402Z,Sinistro - rp,15.0285,0.006087264081670001
58824.03879079861,2019-12-07T00:55:51.525Z,Sinistro - ip,15.2098,0.008678507705821
58835.03885950232,2019-12-18T00:55:57.461Z,Sinistro - gp,14.7485,0.004611290925543
